"","Site ID","Site Name","Longitude","Latitude","Region","Activation Date","Deactivation Date"
"289","48_141_0047","Womble","-106.4131769","31.7759422",6,"13-Apr-93",""
"290","48_141_0050","Moon City","-106.284167","31.672778",6,"4-Jun-90","11-Sep-09"
"291","48_141_0051","Fort Bliss","-106.420556","31.801944",6,"1-Dec-90","30-Jan-14"
"292","48_141_0053","El Paso Sun Metro","-106.5010446","31.7585317",6,"1-Dec-90","5-Dec-12"
"293","48_141_0054","El Paso Lower Valley","-106.356022","31.7038461",6,"7-Jun-96",""
"294","48_141_0055","Ascarate Park SE","-106.4028059","31.7467753",6,"1-Sep-99",""
"295","48_141_0057","Socorro Hueco","-106.288","31.6675",6,"18-Nov-99",""
"296","48_141_0058","Skyline Park","-106.425827","31.8939133",6,"11-Jul-00",""
"297","48_141_0059","Clendenin School","-106.464186","31.8146081",6,"13-Apr-01","31-Jul-10"
"298","48_141_0101","Smeltertown","0","0",6,"1-Jan-78","31-Dec-78"
"299","48_141_0102","Phelps Dodge","0","0",6,"1-Jan-78","31-Dec-78"
"300","48_141_0693","Van Buren","-106.46452","31.81337",6,"5-Jul-10",""
"301","48_141_1002","Canutillo","-106.582778","31.882222",6,"1-Jan-72","31-Dec-75"
"302","48_141_1011","El Paso Delta","-106.407346","31.758476",6,"5-Aug-11","13-Aug-13"
"303","48_141_1021","Ojo De Agua","-106.5473","31.86247",6,"15-Apr-13",""
"304","48_149_0001","Fayette County","-96.7458748","29.9624745",11,"18-May-00",""
"305","48_157_0001","Radian-481570001","-95.635556","29.537222",12,"1-Jan-74","31-Dec-79"
"306","48_157_0002","Radian-481570002","-95.789722","29.475",12,"1-Jan-78","31-Dec-88"
"307","48_157_0003","Radian-481570003","-95.652778","29.415",12,"1-Jan-74","31-Dec-82"
"308","48_157_0004","Rosenburg Public Works","-95.798889","29.565",12,"1-Jan-90","31-Dec-90"
"309","48_157_0696","UH Sugarland","-95.6497","29.5741",12,"26-Feb-09",""
"310","48_167_0001","North City Building","-95.058333","29.466667",12,"1-Jan-76","27-Jun-88"
"311","48_167_0002","Moody College","-94.8","29.316667",12,"1-Jan-76","31-Dec-88"
"312","48_167_0003","Army Reserve Training Building","-94.820833","29.276944",12,"1-Jan-80","31-Mar-82"
"313","48_167_0004","Texas City Fire Station","-94.930833","29.384444",12,"1-Jan-72",""
"314","48_167_0005","Texas City Ball Park","-94.9315197","29.3852338",12,"20-Oct-97",""
"315","48_167_0012","Highway 519 at Highway 146","-94.948611","29.363889",12,"1-Jan-73","31-Dec-81"
"316","48_167_0013","Loop 197 at Highway 146","-94.929722","29.335556",12,"1-Jan-76","27-Jun-88"
"317","48_167_0014","GALVESTON AIRPORT","-94.8565681","29.263319",12,"1-Dec-93","22-Mar-07"
"318","48_167_0024","Banana &amp; 3rd","-94.95","29.363889",12,"1-Jan-72","31-Dec-73"
"319","48_167_0025","Clear Creek","-95.026389","29.545833",12,"1-Jan-72","31-Dec-81"
"320","48_167_0026","Galveston County Park","-95.1","29.509722",12,"1-Jan-72","31-Dec-81"
"321","48_167_0031","Air Control Lab","-94.9","29.383333",12,"1-Jan-72","22-Jun-89"
"322","48_167_0035","Shady Lane","-94.95","29.370833",12,"1-Jan-72","27-Jun-88"
"323","48_167_0042","Magnolia Street","-94.979167","29.365278",12,"1-Jan-72","31-Dec-72"
"324","48_167_0043","Washington &amp; Carver","-94.981944","29.383611",12,"1-Jan-75","31-Dec-81"
"325","48_167_0044","Texas City 5th &amp; Orchard","-94.9625","29.380556",12,"1-Jan-72","31-Dec-72"
"326","48_167_0045","Magnolia Street 2","-94.948611","29.397222",12,"1-Jan-72","31-Dec-73"
"327","48_167_0046","Loop 197 Lift Station","-94.908333","29.408333",12,"1-Jan-72","31-Dec-72"
"328","48_167_0047","Galveston 56 1/2 Street","-94.823611","29.283333",12,"1-Jan-72","27-Jun-88"
"329","48_167_0050","Texas City Dike","-94.809167","29.339167",12,"1-Jan-73","31-Dec-73"
"330","48_167_0051","Galveston County Hospital","-94.986667","29.395833",12,"1-Jan-74","11-Aug-83"
